serial,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
501,Galaxy S20 FE SM-G780F 8/128GB Cloud Navy,0,899,16396,15650,18187,16,6.5,128,4500,Nov-20
502,Galaxy S20 FE SM-G780F 8/256GB Blue (SM-G780FZBH),0,982,19215,16967,23228,56,6.5,256,4500,Nov-20
503,Galaxy S20 SM-G980 8/128GB Grey (SM-G980FZAD),0,1210,21011,18129,29432,65,6.2,128,4000,Feb-20
504,Galaxy S20 Ultra 5G SM-G9880 12/256GB Cosmic Gray,0,933,29175,27238,31780,30,6.9,256,5000,May-20
505,Galaxy S20 Ultra 5G SM-G988B 12/128GB Black,0,984,27461,25999,34999,30,6.9,128,5000,May-20
506,Galaxy S20 Ultra SM-G988 128GB Grey (SM-G988BZAD),0,1114,32806,26080,42127,63,6.9,128,5000,Feb-20
507,Galaxy S20+ 5G SM-G9860 12/128GB Cosmic Black,0,1130,23302,22580,25183,31,6.9,128,4500,Apr-20
508,Galaxy S20+ 5G SM-G9860 8/128GB Gray,0,192,24843,24369,25318,2,6.7,128,4500,May-20
509,Galaxy S20+ 5G SM-G9860 8/128GB Gray,0,226,24843,24369,25318,2,6.7,128,4500,May-20
510,Galaxy S20+ 5G SM-G986B 12/128GB Black,0,321,21905,21150,22572,3,6.7,128,4500,Oct-20
511,Galaxy S20+ 5G SM-G986F-DS 12/128GB Black,0,1011,21326,20490,23321,35,6.7,128,4500,Feb-20
512,Galaxy S20+ LTE SM-G985 Dual 8/128GB Black (SM-G985FZKD),0,1070,24160,19424,27138,87,6.7,128,4500,Feb-20
513,Galaxy S21 8/128GB Phantom Grey (SM-G991BZADSEK),0,1175,26751,24059,27655,25,6.2,128,4000,Jan-21
514,Galaxy S21 8/256GB Phantom Grey (SM-G991BZAGSEK),0,1004,28876,27499,29210,22,6.2,256,4000,Jan-21
515,Galaxy S21 Ultra 12/128GB Phantom Black (SM-G998BZKDSEK),0,1104,37630,34899,40559,28,6.8,128,5000,Jan-21
516,Galaxy S21 Ultra 12/256GB Phantom Black (SM-G998BZKGSEK),0,1164,39620,36359,42127,22,6.8,256,5000,Jan-21
517,Galaxy S21 Ultra 16/512GB Phantom Black (SM-G998BZKHSEK),0,1136,42649,36899,43999,26,6.8,512,5000,Jan-21
518,Galaxy S21+ 8/128GB Phantom Black (SM-G996BZKDSEK),0,979,31574,29319,33601,32,6.7,128,4800,Jan-21
519,Galaxy S21+ 8/256GB Phantom Black (SM-G996BZKGSEK),0,1006,33443,30899,33999,27,6.7,256,4800,Jan-21
520,Galaxy S7 G930F 32GB (Black),0,824,5400,,,1,5.1,32,3000,Apr-16
521,Galaxy S7 G930F 32GB (Gold),0,685,7782,6896,8225,3,5.1,32,3000,Apr-16
522,Galaxy S8 64GB Blue,0,908,7864,7640,8089,2,5.8,64,3000,Mar-17
523,Galaxy S8 G950F Single Sim 64GB Black,0,886,7640,,,1,5.8,64,3000,Feb-18
524,Galaxy S8+ 64GB Black (SM-G955FZKD),0,871,10787,8299,12898,7,6.2,64,3500,Mar-17
525,Galaxy S8+ SM-G955U 64GB Black,0,664,8709,,,1,6.2,64,3500,Dec-20
526,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG),0,167,14990,,,1,5.8,128,3000,Feb-18
527,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG),0,126,14990,,,1,5.8,128,3000,Feb-18
528,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG),0,117,14990,,,1,5.8,128,3000,Feb-18
529,Galaxy S9 SM-G960 DS 128GB Blue,0,92,16798,13309,18370,8,5.8,128,3000,Feb-18
530,Galaxy S9 SM-G960 DS 128GB Blue,0,101,16798,13309,18370,8,5.8,128,3000,Feb-18
531,Galaxy S9 SM-G960 DS 128GB Grey (SM-G960FZAG),0,17,13720,,,1,5.8,128,3000,Feb-18
532,Galaxy S9 SM-G960 DS 128GB Purple (SM-G960FZPG),0,249,13537,12754,14367,9,5.8,128,3000,Feb-18
533,Galaxy S9 SM-G960 DS 64GB Black (SM-G960FZKD),0,1105,11207,9050,13880,5,5.8,64,3000,Feb-18
534,Galaxy S9 SM-G960U1 128GB Purple,0,426,12869,,,1,5.8,128,3000,Dec-20
535,Galaxy S9+ SM-G965 DS 128GB Black,0,376,13550,,,1,6.2,128,3500,Feb-18
536,Galaxy S9+ SM-G965 DS 128GB Blue,0,230,13436,12592,14703,9,6.2,128,3500,Feb-18
537,Galaxy S9+ SM-G965 DS 128GB Grey,0,285,13525,12870,14480,6,6.2,128,3500,Feb-18
538,Galaxy S9+ SM-G965 DS 128GB Purple,0,470,14502,12870,16135,2,6.2,128,3500,Feb-18
539,Galaxy S9+ SM-G965 DS 256GB Black (SM-G965FZKH),0,517,14532,13327,15499,15,6.2,256,3500,Feb-18
540,Galaxy S9+ SM-G965 DS 64GB Black (SM-G965FZKD),0,1135,13837,10048,17966,16,6.2,64,3500,Feb-18
